model,method,f1_score,precision,recall,execution_time
llama3.1:latest,constrained,0.8748357076505616,0.8894450381636877,0.7309240480564709,2.700394280276701
llama3.1:latest,constrained,0.8430867849414407,0.8468950631750211,0.8005548274064248,2.7771585675975805
llama3.1:latest,constrained,0.8823844269050346,0.8293846799816424,0.806009983843126,1.9559802227372072
llama3.1:latest,constrained,0.9261514928204012,0.9067005773304521,0.7738405911544867,2.6858029577288027
llama3.1:latest,constrained,0.8382923312638332,0.9318599713497571,0.8187100001833794,2.734457978638945
llama3.1:latest,constrained,0.838293152152541,0.925876807146972,0.8582835599770177,1.9285188655789058
llama3.1:latest,constrained,0.9289606407753696,0.8196469486066417,0.9620330130847371,3.9926196089158053
llama3.1:latest,constrained,0.8883717364576454,0.8514472574489271,0.8422204468982287,2.87906633672943
llama3.1:latest,constrained,0.8265262807032524,0.8898758058842138,0.8480285273505934,1.546957202237881
llama3.1:latest,constrained,0.8771280021792982,0.9285327076273415,0.8247887858963683,3.0252428869070638
llama3.1:latest,constrained,0.8268291153593769,0.8412495457292826,0.695686014929067,1.7202546638181428
llama3.1:latest,constrained,0.8267135123214872,0.8588604614001709,0.8281440287185547,3.129667682993962
llama3.1:latest,zero_shot,0.8620981135783017,0.8036199015596384,0.8342161146958718,3.4268764632059234
llama3.1:latest,zero_shot,0.7543359877671101,0.7982276025551598,1.00242694787397,1.8434541453186317
llama3.1:latest,zero_shot,0.7637541083743483,0.9187515493436519,0.8165347324653214,3.2707009033954577
llama3.1:latest,zero_shot,0.8218856235379514,0.9513744017142494,0.8511083139633528,2.830224741549199
llama3.1:latest,zero_shot,0.7993584439832788,0.86567939270518,0.8275701761206329,3.157648127995592
llama3.1:latest,zero_shot,0.8657123666297637,0.9302119738735214,0.7481925373666327,4.017434386123158
llama3.1:latest,zero_shot,0.8045987962239394,0.8916981615028581,0.9099975970160514,2.3036895071977037
llama3.1:latest,zero_shot,0.7793848149332354,0.8312928147236925,0.8826353122880741,1.8970110685140082
llama3.1:latest,zero_shot,0.9232824384460777,0.8916837363305048,0.8853722362930132,1.7883884562995813
llama3.1:latest,zero_shot,0.8387111849756732,0.9622821939879581,0.7663428781643682,1.8473517720276493
llama3.1:latest,zero_shot,0.8533764102343961,0.8678504376534029,0.928195601765527,2.4383186324687167
llama3.1:latest,zero_shot,0.7787625906893272,0.9638786193488403,0.7318704256045403,2.772921579853315
llama3.1:latest,zero_shot,0.8227808637737408,0.7128152937546153,0.8710799965660189,2.721352639464015
deepseek-r1:14b,constrained,0.8088738071767894,0.9193141502625134,0.9833318938066985,3.161746599228819
deepseek-r1:14b,constrained,0.7079205138062158,0.8752228240942903,0.7606624572408518,2.5104015135023254
deepseek-r1:14b,constrained,0.8300558414676538,0.852059558972048,0.790359158927806,3.6628272617258535
deepseek-r1:14b,constrained,0.7519489048064957,0.8755056465921301,0.8369755955561349,2.288274533409635
deepseek-r1:14b,constrained,0.7766645000165379,0.7507458651239465,0.7947567042118661,4.676135333271695
deepseek-r1:14b,constrained,0.7518634710216483,0.8568196867297493,0.7214535598253706,3.0005338782120052
deepseek-r1:14b,constrained,0.948182254760715,0.8914267542907047,0.8347994082364218,1.814273954866974
deepseek-r1:14b,constrained,0.7989202220209654,0.958673642684491,0.7556387400391726,1.6432860015511102
deepseek-r1:14b,constrained,0.715383125683528,0.8389037869035811,0.8631514701444627,2.8859779321945482
deepseek-r1:14b,constrained,0.8658035929682552,0.8214903838264087,0.7656403036036338,2.3212297717393193
deepseek-r1:14b,constrained,0.7023325080023183,0.8398945773849278,0.9384954083512277,3.0712003952736735
deepseek-r1:14b,constrained,0.8167090876003805,0.9249241270621245,0.7751722695364633,2.878590099658836
deepseek-r1:14b,constrained,0.643226390089618,0.8897250665795811,0.8074556938656027,2.441736869874502
deepseek-r1:14b,zero_shot,0.6937451160881256,0.8382143877739776,0.8869462052158769,1.822565025545276
deepseek-r1:14b,zero_shot,0.81574889886953,0.9007960459868014,0.7438394978496231,1.2881222202513083
deepseek-r1:14b,zero_shot,0.8590773263996329,0.8758246529608824,0.845922195422289,2.1427880383463833
deepseek-r1:14b,zero_shot,0.8137094624951977,0.9281186994319733,0.9214999927997699,3.185119035458778
deepseek-r1:14b,zero_shot,0.7907481374089408,0.8278768143673588,0.717476173580714,2.671274995304163
deepseek-r1:14b,zero_shot,0.775911704352857,0.8503402712041339,0.8429243700972613,1.5034089770304095
deepseek-r1:14b,zero_shot,0.6817182407706058,0.8464735108120706,0.8481917955973897,2.6385447406809455
deepseek-r1:14b,zero_shot,0.7424124633284234,0.7821891031120729,0.8847276010244117,2.8082539037830694
deepseek-r1:14b,zero_shot,0.7631488983232171,0.8877672166238746,0.7434134502385342,1.7929140510390935
deepseek-r1:14b,zero_shot,0.8845697780975132,0.8856633163307933,0.7375680370841006,2.6229800847564224
deepseek-r1:14b,zero_shot,0.827489463165477,0.8703068073985476,0.8665359095931828,2.5465669747568
deepseek-r1:14b,zero_shot,0.6589567875709813,0.8559247719974912,0.850788927126323,1.5856237617355013
